app_number,region,direction,subsidy_type,amount,final_score,rule_score,ml_score,final_risk_level,ml_predicted_positive,history_recommendation
01300100266089,Туркестанская область,Субсидирование в скотоводстве,Заявка на получение субсидий на ведение селекционной и племенной работы с племенным маточным поголовьем крупного рогатого скота,2310000.0,95.9,94.2,96.5,Низкий,True,история поддерживает
01400100401733,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,20000.0,94.6,83.3,98.3,Низкий,True,история поддерживает
01200100304998,г.Шымкент,Субсидирование в скотоводстве,Заявка на получение субсидий на ведение селекционной и племенной работы с товарным маточным поголовьем крупного рогатого скота,4090000.0,94.5,91.6,95.5,Низкий,True,история поддерживает
01400100401722,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,19500.0,94.1,81.7,98.3,Низкий,True,история поддерживает
01400100284971,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,70000.0,94.1,84.2,97.4,Низкий,True,история поддерживает
01400100393910,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,140000.0,94.0,84.0,97.3,Низкий,True,история поддерживает
01400100285884,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,100000.0,94.0,84.3,97.3,Низкий,True,история поддерживает
01400100273721,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,40000.0,93.8,84.2,97.0,Низкий,True,история поддерживает
01300100321814,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий на ведение селекционной и племенной работы с племенным маточным поголовьем крупного рогатого скота,75000.0,93.7,83.5,97.1,Низкий,True,история поддерживает
01400100295378,Павлодарская область,Субсидирование в скотоводстве,Заявка на получение субсидий за приобретенное однополое семя племенных быков молочного/молочно-мясного и мясного/мясо-молочного направлений,480000.0,93.6,86.0,96.2,Низкий,True,история поддерживает
